ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
467712,Male,Yes,50,Yes,,1.0,Average,4.0,Cat_7,A
461796,Male,Yes,39,Yes,Artist,1.0,Average,2.0,Cat_1,A
467354,Male,Yes,61,Yes,Doctor,3.0,Low,2.0,Cat_6,A
467334,Male,Yes,73,No,Executive,0.0,High,2.0,Cat_6,C
461845,Female,Yes,48,Yes,Doctor,1.0,Average,4.0,Cat_6,C
461573,Female,No,40,Yes,Engineer,1.0,Low,5.0,Cat_6,C
467618,Male,No,26,No,Doctor,6.0,Low,2.0,Cat_6,D
462759,Male,No,22,No,Healthcare,,Low,5.0,Cat_2,D
465936,Male,No,35,Yes,Artist,6.0,Low,3.0,Cat_6,B
465443,Male,Yes,38,Yes,Artist,0.0,Low,4.0,Cat_6,A
461171,Male,Yes,41,Yes,Artist,,Average,3.0,Cat_3,A
466782,Male,No,19,No,,9.0,Low,3.0,Cat_4,D
462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,D
467872,Female,Yes,40,Yes,Engineer,1.0,Average,4.0,Cat_5,B
463499,Male,Yes,48,Yes,Executive,0.0,Low,2.0,Cat_6,A
465366,Female,No,38,Yes,Artist,8.0,Low,1.0,Cat_6,B
464934,Male,Yes,77,No,Lawyer,1.0,Low,2.0,Cat_4,D
467316,Female,No,42,Yes,Doctor,0.0,Low,1.0,Cat_6,A
467928,Male,Yes,35,Yes,Artist,2.0,Average,2.0,Cat_6,C
466032,Male,,28,No,Entertainment,,Low,2.0,Cat_6,B
463968,Male,No,33,No,Artist,,Low,4.0,Cat_6,D
460047,Male,No,41,Yes,Entertainment,8.0,Low,2.0,Cat_6,A
461458,Female,No,40,Yes,Artist,6.0,Low,1.0,Cat_6,B
460790,Female,Yes,42,Yes,Artist,0.0,High,2.0,Cat_2,C
464878,Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_4,D
461365,Male,No,27,No,Healthcare,1.0,Low,3.0,Cat_6,D
465770,Male,No,52,Yes,Artist,1.0,Low,1.0,Cat_6,B
462168,Male,Yes,37,Yes,Executive,1.0,High,3.0,Cat_6,B
464490,Male,Yes,85,Yes,Artist,1.0,High,4.0,Cat_6,A
462197,Female,Yes,65,No,Engineer,1.0,Average,3.0,Cat_4,A
461964,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_7,D
464327,Female,Yes,50,Yes,Artist,9.0,Low,2.0,Cat_6,C
459968,Male,No,39,Yes,Artist,11.0,Low,1.0,Cat_7,A
464221,Male,Yes,56,Yes,Entertainment,0.0,Low,,Cat_4,A
465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D
460168,Male,Yes,86,Yes,Executive,0.0,High,2.0,Cat_2,C
459779,Female,Yes,62,Yes,Entertainment,1.0,Low,1.0,Cat_6,A
465058,Female,No,43,,Entertainment,,Low,1.0,Cat_6,B
467669,Male,Yes,82,No,Lawyer,0.0,High,2.0,Cat_6,A
465981,Male,No,28,No,Artist,0.0,Low,2.0,Cat_6,A
465702,Male,No,32,Yes,Entertainment,1.0,Low,1.0,Cat_4,A
459740,Female,No,20,No,Healthcare,0.0,Low,3.0,Cat_6,D
460038,Female,No,36,Yes,Engineer,9.0,Low,5.0,Cat_6,D
466853,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,B
462605,Male,Yes,82,No,Executive,1.0,High,2.0,Cat_4,D
459229,Female,Yes,65,Yes,Lawyer,0.0,Average,4.0,Cat_6,B
461517,Male,Yes,42,Yes,Artist,0.0,Average,3.0,Cat_6,B
464538,Male,No,19,No,Healthcare,0.0,Low,,Cat_3,D
466363,Female,Yes,38,,Engineer,5.0,Low,2.0,Cat_2,B
464642,Female,Yes,26,Yes,Engineer,6.0,High,7.0,Cat_4,D
462974,Male,Yes,66,Yes,Lawyer,0.0,Low,1.0,Cat_6,D
465788,Male,No,22,No,Healthcare,1.0,Low,6.0,Cat_4,D
463199,Female,Yes,52,Yes,Artist,1.0,Low,3.0,Cat_4,A
467045,Male,Yes,51,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
459187,Female,Yes,52,No,Doctor,0.0,Average,3.0,Cat_4,B
464251,Male,Yes,65,Yes,Artist,0.0,Average,4.0,Cat_2,B
467531,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,D
460264,Female,Yes,35,Yes,Entertainment,0.0,Low,4.0,Cat_1,A
464401,Female,Yes,66,Yes,Lawyer,4.0,Low,1.0,Cat_6,B
464830,Male,,47,,Executive,1.0,Average,5.0,Cat_4,B
462117,Male,No,32,Yes,Entertainment,1.0,Low,2.0,Cat_6,D
464741,Male,Yes,71,No,Executive,1.0,High,,Cat_1,A
467117,Male,No,48,Yes,Artist,0.0,Low,1.0,Cat_6,A
463661,Female,Yes,51,Yes,Doctor,1.0,Average,4.0,Cat_6,B
464220,Male,Yes,65,Yes,Executive,1.0,High,2.0,Cat_6,A
462245,Female,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C
467649,Male,Yes,38,Yes,Doctor,0.0,Average,5.0,Cat_6,B
464428,Female,Yes,89,Yes,Entertainment,6.0,Average,4.0,Cat_2,A
459285,Male,No,76,Yes,Lawyer,0.0,Low,2.0,Cat_6,A
462649,Female,Yes,30,No,Engineer,,Average,8.0,Cat_4,D
465114,Female,No,43,No,Doctor,4.0,Low,6.0,Cat_7,B
459225,Female,Yes,49,Yes,Artist,0.0,Average,4.0,Cat_6,C
465905,Female,No,32,Yes,Artist,9.0,Low,1.0,Cat_6,A
461275,Male,Yes,66,Yes,Marketing,1.0,High,2.0,Cat_6,B
466395,Female,Yes,37,Yes,Doctor,2.0,High,2.0,Cat_4,A
462810,Male,Yes,36,No,Executive,8.0,High,4.0,Cat_6,C
460961,Male,No,20,No,Healthcare,1.0,Low,2.0,Cat_3,D
463805,Female,No,32,No,Doctor,8.0,Low,6.0,Cat_6,C
459927,Female,No,27,No,Engineer,0.0,Low,2.0,Cat_3,D
467926,Male,Yes,79,Yes,Artist,0.0,High,2.0,Cat_6,C
462043,Male,No,33,No,Healthcare,0.0,Low,5.0,Cat_6,C
459481,Male,Yes,47,No,Lawyer,0.0,Low,2.0,Cat_6,A
464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B
465469,Female,No,43,Yes,Artist,6.0,Low,1.0,Cat_6,C
465972,Female,No,47,Yes,Marketing,9.0,Low,1.0,Cat_6,D
463518,Male,Yes,30,No,Executive,5.0,High,4.0,Cat_6,A
464695,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,D
462485,Female,Yes,37,No,Engineer,0.0,Low,2.0,Cat_6,A
459263,Female,No,32,No,Healthcare,8.0,Low,4.0,Cat_6,D
465742,Female,Yes,45,Yes,Artist,3.0,Low,3.0,Cat_6,C
467940,Female,No,29,No,Marketing,9.0,Low,4.0,Cat_2,A
467212,Female,No,28,Yes,Doctor,1.0,Low,3.0,Cat_6,B
467608,Male,No,32,Yes,Engineer,6.0,Low,1.0,Cat_6,D
460532,Female,No,18,No,,0.0,Low,6.0,Cat_6,D
459713,Male,No,18,No,Healthcare,,Low,3.0,Cat_6,D
467362,Male,Yes,73,No,Executive,1.0,Low,1.0,Cat_6,B
463697,Female,No,32,Yes,Artist,6.0,Low,7.0,Cat_4,A
461591,Female,No,33,No,Engineer,1.0,Low,2.0,Cat_4,B
463947,Male,Yes,35,Yes,Entertainment,0.0,Average,3.0,Cat_6,C
459708,Female,No,39,Yes,Engineer,1.0,Low,1.0,Cat_6,A
464776,Female,Yes,47,No,Engineer,,Average,5.0,Cat_4,B
460131,Female,No,29,Yes,Healthcare,6.0,Low,3.0,Cat_6,D
460858,Male,No,19,No,Healthcare,1.0,Low,4.0,Cat_3,D
465235,Male,Yes,46,Yes,Healthcare,1.0,High,3.0,Cat_6,C
466770,Female,Yes,85,Yes,Lawyer,0.0,Low,5.0,Cat_6,C
463294,Female,Yes,35,Yes,Engineer,5.0,Low,2.0,Cat_6,B
459737,Female,Yes,81,Yes,Lawyer,8.0,High,2.0,Cat_6,C
464205,Female,Yes,82,No,Entertainment,0.0,High,2.0,Cat_6,B
466530,Male,No,21,No,Healthcare,1.0,Low,4.0,,D
460379,Male,No,35,Yes,Artist,9.0,Low,3.0,Cat_6,A
459641,Female,Yes,58,Yes,Artist,4.0,Average,5.0,Cat_6,C
465489,Female,No,50,Yes,Engineer,1.0,Low,5.0,Cat_6,A
462982,Male,Yes,41,No,Doctor,2.0,Average,4.0,Cat_6,A
466921,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,D
463329,Male,No,23,No,Healthcare,0.0,Low,6.0,Cat_3,D
460816,Female,Yes,49,No,,11.0,Low,2.0,Cat_3,A
460611,Male,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_3,C
459799,Male,Yes,47,Yes,Artist,1.0,Low,2.0,Cat_6,B
459770,Female,Yes,48,Yes,Artist,8.0,Average,2.0,Cat_6,A
466541,Male,No,41,Yes,Entertainment,1.0,Low,4.0,Cat_6,A
465402,Male,No,31,No,Healthcare,,Low,,Cat_6,D
464939,Male,No,43,No,Entertainment,0.0,Low,1.0,Cat_4,D
463136,Male,Yes,35,Yes,Artist,1.0,High,3.0,Cat_6,B
465142,Male,No,23,No,Healthcare,0.0,Low,4.0,Cat_6,D
461965,Male,No,19,No,Healthcare,0.0,Low,6.0,Cat_6,D
460812,Male,Yes,59,No,Entertainment,1.0,Low,2.0,Cat_6,A
466658,Female,No,18,No,Healthcare,0.0,Low,4.0,Cat_6,D
459197,Female,Yes,39,Yes,,0.0,Average,2.0,Cat_6,A
464375,Female,Yes,63,Yes,Artist,1.0,Low,2.0,Cat_6,B
463577,Female,Yes,37,Yes,Doctor,1.0,Average,2.0,Cat_6,C
466994,Male,Yes,47,Yes,Artist,1.0,Average,2.0,Cat_6,C
463679,Male,No,31,No,Healthcare,,Low,8.0,Cat_4,D
459069,Male,Yes,25,Yes,Doctor,0.0,Average,2.0,Cat_6,A
462222,Male,No,20,No,Healthcare,1.0,Low,6.0,Cat_4,D
460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,D
461682,Male,Yes,75,No,Executive,1.0,High,2.0,Cat_6,C
465138,Male,No,35,Yes,Entertainment,1.0,Low,3.0,Cat_3,A
466500,Female,Yes,48,Yes,Artist,3.0,High,3.0,Cat_4,B
466989,Female,Yes,40,Yes,Artist,9.0,Average,2.0,Cat_2,B
461415,Male,No,48,Yes,Entertainment,0.0,Low,3.0,Cat_6,A
466706,Male,Yes,67,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
462614,Male,Yes,51,No,Entertainment,1.0,Average,5.0,Cat_4,D
460536,Male,No,33,No,Engineer,2.0,Low,4.0,Cat_3,D
467550,Male,No,27,Yes,Doctor,0.0,Low,2.0,Cat_3,A
462400,Male,No,47,Yes,Artist,0.0,Low,1.0,Cat_6,B
461913,Male,No,37,Yes,Entertainment,6.0,Low,4.0,Cat_2,A
462156,Female,Yes,43,Yes,Artist,4.0,Average,2.0,Cat_3,C
463279,Male,No,27,No,Entertainment,0.0,Low,3.0,Cat_3,A
462928,Male,Yes,49,Yes,Artist,2.0,Average,4.0,Cat_2,C
460647,Female,Yes,26,No,Doctor,1.0,Average,2.0,Cat_4,D
467135,Female,Yes,51,Yes,Artist,1.0,Average,5.0,Cat_6,C
464607,Female,Yes,49,Yes,Artist,0.0,Average,4.0,Cat_2,C
467931,Male,No,25,Yes,Doctor,0.0,Low,2.0,Cat_6,D
462180,Female,Yes,60,Yes,Engineer,4.0,Average,4.0,Cat_2,B
466063,Female,Yes,48,Yes,Entertainment,0.0,Low,1.0,Cat_3,B
460898,Male,Yes,48,No,Artist,3.0,Average,4.0,Cat_6,B
460101,Female,No,31,Yes,Healthcare,9.0,Low,3.0,Cat_3,D
467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
466091,Female,Yes,46,Yes,Artist,1.0,Low,4.0,Cat_4,B
461742,Male,Yes,87,Yes,Executive,1.0,High,2.0,Cat_6,C
462768,Male,Yes,46,Yes,Artist,0.0,Average,3.0,Cat_6,B
464670,Male,Yes,42,No,Entertainment,0.0,Average,4.0,Cat_4,B
465444,Female,No,30,Yes,Entertainment,0.0,Low,4.0,Cat_6,B
460454,Male,No,51,Yes,Artist,,Low,1.0,Cat_6,B
467415,Female,No,31,Yes,Healthcare,1.0,Low,1.0,Cat_6,D
460036,Male,Yes,40,Yes,,3.0,Low,1.0,Cat_6,D
463474,Male,Yes,51,No,Artist,3.0,Average,2.0,Cat_6,C
460624,Male,Yes,57,Yes,Homemaker,5.0,High,2.0,Cat_6,A
464001,Male,Yes,59,Yes,Artist,0.0,Average,2.0,Cat_6,C
463605,Female,No,23,No,Healthcare,0.0,Low,5.0,Cat_5,D
464290,Female,No,41,Yes,Artist,0.0,Low,1.0,Cat_6,C
461057,Male,Yes,46,Yes,Artist,0.0,High,4.0,Cat_3,B
467780,Male,Yes,47,Yes,Artist,,Low,3.0,Cat_6,A
460853,Female,Yes,63,Yes,Artist,1.0,High,3.0,Cat_6,C
467158,Female,No,25,No,Healthcare,0.0,Low,,Cat_6,D
460108,Male,Yes,42,Yes,Artist,1.0,Average,3.0,Cat_2,C
466822,Female,Yes,42,Yes,Entertainment,0.0,Average,4.0,Cat_3,B
461871,Male,Yes,53,Yes,Artist,0.0,Average,2.0,Cat_6,C
464753,Female,No,33,No,Marketing,,Low,5.0,Cat_4,D
463770,Male,No,25,No,Healthcare,1.0,Low,4.0,Cat_6,D
459351,Female,Yes,57,Yes,Artist,0.0,High,,Cat_1,C
465448,Male,No,32,No,Healthcare,0.0,Low,3.0,Cat_2,A
461429,Male,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,C
467451,Female,Yes,47,Yes,Artist,0.0,Low,1.0,Cat_1,A
463957,Female,No,32,No,Entertainment,0.0,Low,3.0,Cat_4,C
461553,Male,No,39,Yes,Artist,1.0,Low,3.0,Cat_7,A
462594,Male,Yes,52,No,Entertainment,,Average,5.0,Cat_4,B
461762,Female,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C
463281,Male,Yes,25,No,Entertainment,3.0,Average,2.0,Cat_3,D
466453,Male,Yes,41,Yes,Entertainment,2.0,Average,2.0,Cat_6,A
466568,Female,Yes,35,Yes,Artist,,Average,2.0,Cat_6,B
464780,Female,No,32,No,Engineer,1.0,Low,9.0,Cat_4,D
466830,Male,No,28,Yes,Healthcare,5.0,Low,4.0,Cat_6,D
464164,Female,Yes,81,Yes,Lawyer,0.0,High,2.0,Cat_6,C
467728,Female,Yes,38,No,Engineer,1.0,High,5.0,Cat_6,B
461063,Male,Yes,53,No,Lawyer,0.0,Low,2.0,Cat_6,D
465942,Female,Yes,33,Yes,Marketing,8.0,High,2.0,Cat_6,D
464287,Male,Yes,35,Yes,Artist,,Average,3.0,Cat_2,C
463258,Female,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,A
462314,Female,No,28,No,Doctor,14.0,Low,1.0,Cat_6,A
467326,Female,No,47,Yes,Artist,0.0,Low,1.0,Cat_1,C
459899,Female,Yes,48,Yes,Artist,0.0,Low,4.0,Cat_6,C
459463,Female,Yes,62,Yes,Artist,,Average,3.0,Cat_6,C
462033,Male,No,32,Yes,Entertainment,1.0,Low,1.0,Cat_6,A
461403,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,D
465756,Male,No,23,No,Healthcare,1.0,Low,3.0,Cat_4,D
464988,Male,Yes,63,Yes,Artist,0.0,Average,7.0,Cat_6,C
464940,Female,Yes,30,No,Engineer,1.0,Low,2.0,Cat_4,A
466624,Female,Yes,46,No,Artist,0.0,Average,4.0,Cat_3,C
461173,Male,Yes,45,Yes,Artist,1.0,Low,4.0,Cat_3,B
467344,Male,Yes,83,Yes,Lawyer,0.0,Low,2.0,Cat_6,B
462597,Male,Yes,29,No,Healthcare,,Low,4.0,Cat_4,A
459256,Female,Yes,46,Yes,Artist,0.0,High,4.0,Cat_6,B
466045,Female,No,38,No,Entertainment,8.0,Low,2.0,Cat_6,B
461590,Male,Yes,41,No,Executive,1.0,High,4.0,Cat_6,B
463766,Female,Yes,57,Yes,Artist,1.0,Average,3.0,,C
462553,Male,No,27,No,Artist,1.0,Low,1.0,Cat_6,B
465493,Female,No,26,No,Artist,0.0,Low,3.0,Cat_4,A
467393,Female,Yes,46,Yes,Artist,0.0,Average,4.0,Cat_6,C
463203,Female,No,20,No,Healthcare,1.0,Low,3.0,Cat_7,D
459588,Male,Yes,52,Yes,Artist,1.0,Low,1.0,Cat_6,A
466228,Male,Yes,80,No,Lawyer,0.0,Low,1.0,Cat_4,B
465531,Female,No,40,Yes,Homemaker,9.0,Low,,Cat_6,D
463880,Female,Yes,36,No,Engineer,0.0,Low,3.0,Cat_2,B
465330,Male,No,28,Yes,Engineer,0.0,Low,3.0,Cat_4,C
467019,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,C
466242,Female,No,35,No,Engineer,1.0,Low,1.0,Cat_4,A
467579,Male,No,38,Yes,Doctor,7.0,Low,1.0,Cat_6,C
463604,Male,No,23,No,Healthcare,2.0,Low,3.0,Cat_2,D
467611,Male,No,39,Yes,Artist,9.0,Low,1.0,Cat_6,A
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,C
459315,Female,Yes,27,Yes,Doctor,1.0,Low,2.0,Cat_4,D
459004,Female,Yes,51,Yes,Artist,1.0,High,5.0,Cat_6,C
464225,Female,No,31,No,Doctor,1.0,Low,5.0,Cat_3,C
462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
465688,Female,Yes,62,,Artist,1.0,Average,3.0,Cat_3,C
459522,Male,Yes,47,Yes,Entertainment,,Average,4.0,Cat_6,B
460463,Male,Yes,42,Yes,Artist,6.0,Low,4.0,Cat_3,A
460698,Female,Yes,66,No,Artist,,Average,2.0,Cat_6,B
463155,Female,No,38,Yes,Engineer,,Low,1.0,Cat_6,D
